2015-05-28 15:38:21,114 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1297 ; args=(1297,)
2015-05-28 15:38:21,116 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,118 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1297 ; args=(1297,)
2015-05-28 15:38:21,120 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,122 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1297 ; args=(1297,)
2015-05-28 15:38:21,124 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 2 ; args=(2,)
2015-05-28 15:38:21,125 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1287 ; args=(1287,)
2015-05-28 15:38:21,128 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 2 ; args=(2,)
2015-05-28 15:38:21,129 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1287 ; args=(1287,)
2015-05-28 15:38:21,131 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 2 ; args=(2,)
